Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,135.600006,135.970001,134.240005,135.949997,105.509605,5229400
2016-01-05,136.759995,136.889999,134.850006,135.850006,105.432014,3924800
2016-01-06,134.380005,135.580002,133.619995,135.169998,104.904251,4310900
2016-01-07,133.699997,135.020004,132.429993,132.860001,103.111481,7025800
2016-01-08,133.179993,133.820007,131.320007,131.630005,102.156891,4762700
2016-01-11,131.809998,133.820007,131.759995,133.229996,103.398628,4974400
2016-01-12,133.649994,133.779999,131.130005,132.899994,103.142525,5078700
2016-01-13,133.500000,134.279999,131.100006,131.169998,101.799889,4700100
2016-01-14,131.929993,133.789993,131.220001,132.910004,103.150291,5709600
2016-01-15,130.009995,130.880005,128.869995,130.029999,100.915123,9008500
2016-01-19,130.110001,132.100006,128.059998,128.110001,99.425026,9979600
2016-01-20,118.459999,123.989998,118.000000,121.860001,94.574493,16157800
2016-01-21,121.300003,125.099998,120.580002,122.910004,95.389366,8851600
2016-01-22,124.669998,124.739998,121.769997,122.500000,95.071167,9238400
2016-01-25,122.099998,124.230003,121.639999,122.080002,94.745201,5446000
2016-01-26,122.250000,123.610001,122.239998,122.589996,95.141037,4617800
2016-01-27,122.730003,123.370003,120.650002,120.959999,93.875969,5026400
2016-01-28,121.260002,122.830002,121.010002,122.220001,94.853867,3942500
2016-01-29,123.279999,124.790001,122.959999,124.790001,96.848412,8248100
2016-02-01,124.400002,125.290001,123.709999,124.830002,96.879471,3574900
2016-02-02,123.669998,124.139999,122.639999,122.940002,95.412666,3287300
2016-02-03,123.989998,125.449997,122.290001,124.720001,96.794113,6223500
2016-02-04,125.080002,128.500000,125.000000,127.650002,99.068054,5266500
2016-02-05,127.220001,128.639999,125.849998,128.570007,99.782066,7177700
2016-02-08,126.000000,127.510002,124.129997,126.980003,99.554672,7364000
2016-02-09,126.120003,126.930000,123.769997,124.070000,97.273186,5957200
2016-02-10,125.000000,125.290001,119.839996,120.190002,94.231194,6469100
2016-02-11,118.779999,119.660004,116.900002,117.849998,92.396584,7307600
2016-02-12,119.260002,121.050003,118.349998,121.040001,94.897598,4936500
2016-02-16,121.830002,123.089996,121.339996,122.739998,96.230446,4061400
2016-02-17,123.709999,126.570000,123.250000,126.099998,98.864738,4821000
2016-02-18,130.000000,134.000000,129.750000,132.449997,103.843262,9951600
2016-02-19,132.360001,133.649994,130.839996,133.080002,104.337181,5125300
2016-02-22,133.080002,134.309998,132.410004,133.770004,104.878166,4457400
2016-02-23,133.139999,133.410004,132.009995,132.399994,103.804062,3439700
2016-02-24,131.550003,133.490005,129.679993,132.800003,104.117645,4122600
2016-02-25,133.289993,134.509995,130.880005,134.500000,105.450508,4358300
2016-02-26,134.509995,134.919998,131.949997,132.029999,103.513969,4386200
2016-02-29,132.000000,133.360001,130.899994,131.029999,102.729973,4428000
2016-03-01,132.240005,134.639999,132.029999,134.369995,105.348595,3788500
2016-03-02,133.699997,137.440002,133.220001,136.300003,106.861717,5217200
2016-03-03,137.220001,137.960007,136.070007,137.800003,108.037750,5156400
2016-03-04,137.539993,139.419998,137.020004,137.800003,108.037750,3968400
2016-03-07,137.279999,140.509995,136.869995,140.149994,109.880188,5171000
2016-03-08,139.710007,140.350006,137.419998,139.070007,109.033447,5579100
2016-03-09,139.309998,142.169998,139.229996,140.410004,110.084045,4406500
2016-03-10,141.240005,141.470001,138.089996,140.190002,109.911575,4020600
2016-03-11,141.729996,142.919998,140.509995,142.360001,111.612892,4421900
2016-03-14,142.009995,143.190002,141.039993,142.779999,111.942146,4048800
2016-03-15,141.740005,143.330002,141.539993,142.960007,112.083275,3707500
2016-03-16,142.619995,144.880005,142.110001,144.789993,113.518044,4221900
2016-03-17,144.779999,147.320007,144.449997,147.039993,115.282074,5821600
2016-03-18,147.399994,147.509995,145.509995,147.089996,115.321289,12089700
2016-03-21,147.300003,148.710007,146.720001,148.630005,116.528679,3721600
2016-03-22,148.059998,149.279999,147.839996,148.100006,116.113159,4081900
2016-03-23,148.000000,148.029999,145.130005,145.399994,113.996277,4764200
2016-03-24,144.979996,148.220001,144.490005,147.949997,115.995544,5044500
2016-03-28,147.750000,148.649994,147.229996,148.399994,116.348358,3265100
2016-03-29,147.589996,149.759995,147.500000,149.330002,117.077484,3138500
2016-03-30,149.949997,150.410004,148.320007,148.410004,116.356201,3331200
2016-03-31,149.789993,153.100006,149.360001,151.449997,118.739639,6780600
2016-04-01,150.509995,152.960007,150.250000,152.520004,119.578499,3925500
2016-04-04,152.339996,153.520004,151.910004,152.070007,119.225708,3931200
2016-04-05,151.429993,151.600006,149.649994,150.000000,117.602776,3337000
2016-04-06,149.899994,150.149994,147.809998,150.020004,117.618462,4194600
2016-04-07,149.070007,149.600006,148.000000,148.250000,116.230759,3663000
